-0.4; 0.1; 0.87
-0.4; 0.2; 1
-0.4; 0.3; 1.15
-0.4; 0.4; 1.32
-0.4; 0.5; 1.51
-0.4; 0.6; 1.72
-0.4; 0.7; 1.95
-0.4; 0.8; 2.2
-0.4; 0.9; 2.47
-0.4; 1; 2.76
-0.4; 1.1; 3.07
-0.4; 1.2; 3.4
-0.4; 1.3; 3.75
-0.4; 1.4; 4.12
-0.4; 1.5; 4.51
-0.4; 1.6; 4.92
-0.4; 1.7; 5.35
-0.4; 1.8; 5.8
-0.4; 1.9; 6.27
-0.3; -1; 0.79
-0.3; -0.9; 0.7
-0.3; -0.8; 0.63
-0.3; -0.7; 0.58
-0.3; -0.6; 0.55
-0.3; -0.5; 0.54
-0.3; -0.4; 0.55
-0.3; -0.3; 0.58
-0.3; -0.2; 0.63
-0.3; -0.1; 0.7
-0.3; -1.38778e-16; 0.79
-0.3; 0.1; 0.9
-0.3; 0.2; 1.03
-0.3; 0.3; 1.18
-0.3; 0.4; 1.35
-0.3; 0.5; 1.54
-0.3; 0.6; 1.75
-0.3; 0.7; 1.98
-0.3; 0.8; 2.23
-0.3; 0.9; 2.5
-0.3; 1; 2.79
-0.3; 1.1; 3.1
-0.3; 1.2; 3.43
-0.3; 1.3; 3.78
-0.3; 1.4; 4.15
-0.3; 1.5; 4.54
-0.3; 1.6; 4.95
-0.3; 1.7; 5.38
-0.3; 1.8; 5.83
-0.3; 1.9; 6.3
-0.2; -1; 0.84
-0.2; -0.9; 0.75
-0.2; -0.8; 0.68
-0.2; -0.7; 0.63
-0.2; -0.6; 0.6
-0.2; -0.5; 0.59
-0.2; -0.4; 0.6
-0.2; -0.3; 0.63
-0.2; -0.2; 0.68
-0.2; -0.1; 0.75
-0.2; -1.38778e-16; 0.84
-0.2; 0.1; 0.95
-0.2; 0.2; 1.08
-0.2; 0.3; 1.23
-0.2; 0.4; 1.4
-0.2; 0.5; 1.59
-0.2; 0.6; 1.8
-0.2; 0.7; 2.03
-0.2; 0.8; 2.28
-0.2; 0.9; 2.55
-0.2; 1; 2.84
-0.2; 1.1; 3.15
-0.2; 1.2; 3.48
-0.2; 1.3; 3.83
